Date,Open,High,Low,Close,Volume,Symbol,Previous_Close,Daily_Return_Pct,MA_7,MA_30,Volatility_Pct,Price_Range
2025-08-22,895.0,903.9,892.0,894.5,6424895,BAJFINANCE.NS,895.6,-0.12,886.69,902.21,1.33,11.9
2025-08-25,902.1,908.0,898.15,900.8,5837876,BAJFINANCE.NS,894.5,0.7,892.52,901.12,1.1,9.85
2025-08-26,899.95,901.9,873.5,876.25,6712926,BAJFINANCE.NS,900.8,-2.73,894.64,899.7,3.25,28.4
2025-08-28,870.2,884.5,869.7,876.85,8349342,BAJFINANCE.NS,876.25,0.07,890.59,897.98,1.7,14.8
2025-08-29,870.85,888.0,870.85,877.85,5672446,BAJFINANCE.NS,876.85,0.11,887.09,896.52,1.97,17.15
2025-09-01,877.85,894.8,877.85,889.35,4101526,BAJFINANCE.NS,877.85,1.31,887.31,895.38,1.93,16.95
2025-09-02,895.0,899.55,886.15,890.1,6103185,BAJFINANCE.NS,889.35,0.08,886.53,893.65,1.51,13.4
2025-09-03,892.7,898.85,880.05,896.3,5493809,BAJFINANCE.NS,890.1,0.7,886.79,891.92,2.14,18.8
2025-09-04,915.0,948.0,912.25,934.75,21738706,BAJFINANCE.NS,896.3,4.29,891.64,891.32,3.92,35.75
2025-09-05,942.0,942.35,932.0,937.6,5467260,BAJFINANCE.NS,934.75,0.3,900.4,890.3,1.11,10.35
2025-09-08,937.6,949.65,935.65,944.3,5657331,BAJFINANCE.NS,937.6,0.71,910.04,889.81,1.5,14.0
2025-09-09,944.0,949.4,940.0,948.4,5417393,BAJFINANCE.NS,944.3,0.43,920.11,890.97,1.0,9.4
2025-09-10,951.05,969.65,947.7,967.95,6836239,BAJFINANCE.NS,948.4,2.06,931.34,893.88,2.32,21.95
2025-09-11,968.0,975.9,965.6,970.25,5982627,BAJFINANCE.NS,967.95,0.24,942.79,896.67,1.07,10.3
2025-09-12,972.25,1004.6,970.85,1003.25,11412561,BAJFINANCE.NS,970.25,3.4,958.07,900.62,3.48,33.75
2025-09-15,999.0,1025.7,998.1,1009.85,9989753,BAJFINANCE.NS,1003.25,0.66,968.8,904.91,2.77,27.6
