Date,Open,High,Low,Close,Volume,Symbol
2024-01-01,3529.71,3568.83,3513.88,3549.36,825907,TCS.NS
2024-01-02,3549.36,3549.36,3508.52,3523.38,1344068,TCS.NS
2024-01-03,3508.29,3512.81,3433.83,3438.21,1803075,TCS.NS
2024-01-04,3447.52,3463.59,3400.26,3414.97,3598144,TCS.NS
2024-01-05,3422.61,3490.36,3422.47,3481.19,1963127,TCS.NS
2024-01-08,3481.19,3482.91,3420.19,3425.68,1067805,TCS.NS
2024-01-09,3455.16,3494.65,3429.83,3436.49,1370944,TCS.NS
2024-01-10,3436.58,3473.13,3434.72,3458.05,1292227,TCS.NS
2024-01-11,3468.25,3513.88,3452.41,3479.0,1777909,TCS.NS
2024-01-12,3583.73,3637.05,3559.14,3616.14,6813450,TCS.NS
2024-01-15,3688.04,3692.69,3618.19,3635.7,2801505,TCS.NS
2024-01-16,3631.23,3631.23,3590.76,3596.12,1432672,TCS.NS
2024-01-17,3556.72,3641.42,3550.71,3617.82,3458696,TCS.NS
2024-01-18,3630.29,3640.35,3596.77,3634.58,2239110,TCS.NS
2024-01-19,3699.66,3717.06,3671.58,3697.83,2941975,TCS.NS
2024-01-23,3657.46,3689.25,3603.77,3618.31,2618854,TCS.NS
2024-01-24,3638.71,3642.13,3568.93,3602.88,2657709,TCS.NS
2024-01-25,3601.1,3620.89,3543.71,3573.34,2205154,TCS.NS
2024-01-29,3564.43,3582.44,3545.72,3564.62,1646747,TCS.NS
2024-01-30,3570.67,3608.51,3551.49,3564.2,1411621,TCS.NS
2024-01-31,3574.18,3595.57,3560.35,3578.64,2459358,TCS.NS
2024-02-01,3582.44,3662.06,3568.42,3614.46,2363107,TCS.NS
2024-02-02,3634.06,3736.61,3631.2,3719.64,2826510,TCS.NS
2024-02-05,3735.3,3771.87,3715.7,3726.2,1691523,TCS.NS
2024-02-06,3748.43,3891.82,3741.86,3878.79,4474396,TCS.NS
2024-02-07,3894.73,3896.6,3820.59,3829.46,2124267,TCS.NS
2024-02-08,3835.65,3899.42,3831.94,3877.0,2345173,TCS.NS
2024-02-09,3879.3,3924.5,3845.02,3876.63,2100596,TCS.NS
2024-02-12,3873.16,3900.92,3850.23,3864.44,1013716,TCS.NS
2024-02-13,3868.89,3910.67,3827.67,3891.45,1257415,TCS.NS
2024-02-14,3851.59,3859.0,3797.66,3845.12,1391283,TCS.NS
2024-02-15,3871.28,3888.44,3829.08,3848.03,1091582,TCS.NS
2024-02-16,3857.45,3889.99,3845.12,3871.56,1307556,TCS.NS
2024-02-19,3866.64,3871.56,3802.82,3848.59,772291,TCS.NS
